"taskid","replications","replications_used","parnames","method","default_priors","n","time","mean","median","sd","ll","ul","rhat","ess_bulk","ess_tail","mcse_mean","mcse_median","mcse_ll","mcse_ul","summary_output_type"
9,10,9,"cov(mu[3,1],mu[3,1])","BMLVAR",TRUE,200,200,0.0297363160277778,0.0294366666666667,0.00434623307028436,0.0220755555555556,0.0390789166666667,1.00016116068644,11891.1946229693,20372.8689352517,3.96960776141239e-05,4.2777777777778e-05,5.38888888888892e-05,9.22222222222219e-05,"summary-fit-mplus-k4-diagnostics"
9,10,9,"cov(mu[4,1],mu[4,1])","BMLVAR",TRUE,200,200,0.0242421493333333,0.0239338888888889,0.00440681284711211,0.01648775,0.0337300277777778,1.00028803607935,6778.98813238058,11795.5482082108,5.33324524289502e-05,5.77777777777776e-05,7.8333333333333e-05,0.000116111111111111,"summary-fit-mplus-k4-diagnostics"
9,10,9,"psi[1,1]","BMLVAR",FALSE,200,200,0.995460539305556,0.995427222222222,0.00713781538497402,0.9815765,1.00957005555556,1.00002699334971,37681.5939390261,38433.3573394,3.6773422108063e-05,4.77777777777762e-05,9.49999999999994e-05,0.00010166666666666,"summary-fit-mplus-k4-priors-diagnostics"
9,10,9,"psi[2,1]","BMLVAR",FALSE,200,200,0.203142909361111,0.203135,0.00517234606550312,0.193024416666667,0.2133445,1.00001070246703,37543.8925366955,38665.2839880278,2.66991448096428e-05,3.22222222222236e-05,7.27777777777765e-05,6.9444444444443e-05,"summary-fit-mplus-k4-priors-diagnostics"
9,10,9,"psi[2,2]","BMLVAR",FALSE,200,200,1.00481823583333,1.00480222222222,0.00720492737144014,0.990781055555556,1.01904452777778,1.00001532797448,37144.253268981,39032.6109816151,3.73957701870718e-05,4.66666666666578e-05,9.05555555555505e-05,0.000100555555555561,"summary-fit-mplus-k4-priors-diagnostics"
9,10,9,"psi[3,1]","BMLVAR",FALSE,200,200,0.199790649194444,0.199776666666667,0.00516539831187961,0.189701083333333,0.209938944444444,1.00001978739865,37540.0604300839,38450.9477074989,2.6662960647143e-05,3.38888888888858e-05,6.6666666666667e-05,7.22222222222235e-05,"summary-fit-mplus-k4-priors-diagnostics"
9,10,9,"psi[3,2]","BMLVAR",FALSE,200,200,0.200775354222222,0.200765555555556,0.00517903488749485,0.190673222222222,0.210957833333333,1.00004754551763,37531.6960190503,38290.0715027693,2.67402472398312e-05,3.22222222222236e-05,6.66666666666655e-05,7.55555555555571e-05,"summary-fit-mplus-k4-priors-diagnostics"
9,10,9,"psi[3,3]","BMLVAR",FALSE,200,200,1.00188691644444,1.00184555555556,0.00717935634612319,0.987944388888889,1.01602338888889,1.00003778573469,37668.9308258304,38975.3282002743,3.69941284286375e-05,4.83333333333292e-05,9.88888888888829e-05,0.000103333333333332,"summary-fit-mplus-k4-priors-diagnostics"
9,10,9,"psi[4,1]","BMLVAR",FALSE,200,200,0.201347109666667,0.20136,0.00515047150179604,0.191268833333333,0.21145675,1.00002347360756,37679.1559913812,38948.6782115031,2.65332632409258e-05,3.27777777777782e-05,7.38888888888857e-05,7.11111111111128e-05,"summary-fit-mplus-k4-priors-diagnostics"
9,10,9,"psi[4,2]","BMLVAR",FALSE,200,200,0.199759510416667,0.199757222222222,0.00517046895782204,0.189658861111111,0.209892277777778,1.00004766857477,37310.4601854457,38398.2689964094,2.67728382205256e-05,3.27777777777736e-05,7.00000000000006e-05,6.77777777777777e-05,"summary-fit-mplus-k4-priors-diagnostics"
9,10,9,"psi[4,3]","BMLVAR",FALSE,200,200,0.201421910888889,0.201412222222222,0.00516674739640666,0.191324388888889,0.211562277777778,1.00001493072024,37503.5904441651,38803.0297301742,2.66818310608687e-05,3.33333333333297e-05,7.00000000000022e-05,7.2222222222222e-05,"summary-fit-mplus-k4-priors-diagnostics"
9,10,9,"psi[4,4]","BMLVAR",FALSE,200,200,0.998414433722222,0.998371111111111,0.00716347844174142,0.984516583333333,1.01257783333333,1.00000841559584,37023.6293196159,38469.9397112595,3.72350005281811e-05,4.66666666666578e-05,9.88888888888891e-05,9.72222222222177e-05,"summary-fit-mplus-k4-priors-diagnostics"
9,10,9,"mean(beta[1,1])","BMLVAR",FALSE,200,200,0.393420710444444,0.393449444444444,0.0118109231612036,0.370165444444444,0.416486833333333,1.00006520535133,28200.3281681542,35320.5114728428,7.03213248474185e-05,8.44444444444395e-05,0.000173888888888893,0.000160555555555559,"summary-fit-mplus-k4-priors-diagnostics"
