"taskid","replications","replications_used","parnames","parameter","method","n","time","heterogeneity","ci","est","se","z","p","ll","ul","sig","zero_hit","theta_hit","sq_error","bias","rel_bias","se_bias","rel_se_bias","rmse","coverage","rejection_rate","power","type1_error","success_rate","n_bias","n_rmse","n_coverage","n_rejection","mcse_bias","mcse_rmse","mcse_coverage","mcse_rejection_rate","mcse_power","mcse_type1_error","summary_output_type"
29,10,8,"tau_sqr[6,5]",0,"Naive",100,100,0,"Normal",0.00408761439511851,0.00106558110334893,3.79745460621783,0.00156896389403978,0.00199911380994816,0.00617611498028885,1,0,0,1.74952638899591e-05,0.00408761439511851,,0.000117396403572391,0.123811746382386,0.0041827340209436,0,1,,1,0.8,8,8,8,8,0.00033523391551466,0.000306504355163424,0,0,,0,"summary-fit-meta-var-mx-naive"
29,10,8,"tau_sqr[6,6]",0,"Naive",100,100,0,"Normal",0.0108744949036435,0.0015378837314438,7.07107701104828,1.53735786277567e-12,0.0078602981776036,0.0138886916296834,1,0,0,0.000120455005350928,0.0108744949036435,,-4.78980736008001e-05,-0.0302047062517867,0.0109751995585925,0,1,,1,0.8,8,8,8,8,0.00056065853391464,0.000584042435254672,0,0,,0,"summary-fit-meta-var-mx-naive"
29,10,10,"alpha[1,1]",2.87,"BMLVAR-Default",100,100,0,"Posterior",2.881827,0.112362587814592,,,2.661172325,3.101630625,,0,0.9,0.014367833405,0.0118270000000001,0.00412090592334497,-0.0133706194847441,-0.10634119475623,0.119865897589765,0.9,1,1,,1,10,10,10,10,0.039760331258401,0.0307022492085083,0.0948683298050514,0,0,,"summary-fit-mplus"
29,10,10,"alpha[2,1]",2.04,"BMLVAR-Default",100,100,0,"Posterior",2.067946,0.108977740186518,,,1.8544376,2.28174225,,0,1,0.014083778295,0.0279460000000001,0.0136990196078432,-0.0125989360260227,-0.103629548187328,0.118675095512917,1,1,1,,1,10,10,10,10,0.0384459207184441,0.0136778858333781,0,0,0,,"summary-fit-mplus"
29,10,10,"alpha[3,1]",0.28,"BMLVAR-Default",100,100,0,"Posterior",0.2822945,0.012270768497246,,,0.258133775,0.3062451,,0,1,0.0001099635325,0.00229449999999997,0.00819464285714276,0.00148503706632297,0.137685336950384,0.0104863498177392,1,1,1,,1,10,10,10,10,0.00341074775525837,0.00157718205746569,0,0,0,,"summary-fit-mplus"
29,10,10,"alpha[4,1]",-0.035,"BMLVAR-Default",100,100,0,"Posterior",-0.030861,0.0133445868619893,,,-0.057000175,-0.00464687499999999,,0.4,1,0.00018966543,0.004139,-0.118257142857143,-0.000501154922240052,-0.0361955993438271,0.0137719072753196,1,0.6,0.6,,1,10,10,10,10,0.00437840799327285,0.00265500201997571,0,0.154919333848297,0.154919333848297,,"summary-fit-mplus"
29,10,10,"alpha[5,1]",-0.048,"BMLVAR-Default",100,100,0,"Posterior",-0.046527,0.010957115713917,,,-0.068040125,-0.025052775,,0,1,7.145473e-05,0.001473,-0.0306875,0.00218310098607176,0.248814374466854,0.0084530899675799,1,1,1,,1,10,10,10,10,0.00277458707638532,0.0016487526308807,0,0,0,,"summary-fit-mplus"
29,10,10,"alpha[6,1]",0.26,"BMLVAR-Default",100,100,0,"Posterior",0.256957,0.0121538498713029,,,0.233055875,0.280773225,,0,1,0.00012623755,-0.003043,-0.0117038461538462,0.000753182200796298,0.0660647448521611,0.0112355484957344,1,1,1,,1,10,10,10,10,0.00360520766854467,0.00127520146777325,0,0,0,,"summary-fit-mplus"
29,10,10,"tau_sqr[1,1]",1.2,"BMLVAR-Default",100,100,0,"Posterior",1.2260945,0.18805716884676,,,0.9277987,1.662414475,,0,1,0.0193772837075,0.0260945000000003,0.0217454166666669,0.0439262068818011,0.30476593150388,0.139202312148542,1,1,1,,1,10,10,10,10,0.0455782121160368,0.0291281334642116,0,0,0,,"summary-fit-mplus"
29,10,10,"tau_sqr[2,1]",0.459565011723042,"BMLVAR-Default",100,100,0,"Posterior",0.4979795,0.139199742001935,,,0.26121825,0.808535625,,0,0.9,0.0166969458668305,0.0384144882769577,0.0835888009248804,0.00915157589392848,0.070370664714549,0.129216662496872,0.9,1,1,,1,10,10,10,10,0.0411248410429214,0.0251493591512462,0.0948683298050514,0,0,,"summary-fit-mplus"
29,10,10,"tau_sqr[2,2]",1.1,"BMLVAR-Default",100,100,0,"Posterior",1.152359,0.177633976415566,,,0.870690425,1.5642986,,0,0.9,0.02872407648,0.0523589999999999,0.0475990909090908,0.00772350456837978,0.0454563187566576,0.169481788048156,0.9,1,1,,1,10,10,10,10,0.0537304089351024,0.0515766020961145,0.0948683298050514,0,0,,"summary-fit-mplus"
29,10,10,"tau_sqr[3,3]",0,"BMLVAR-Default",100,100,0,"Posterior",0.00332,0.00171119092186498,,,0.001171,0.00767,,0,0,1.144374e-05,0.00332,,0.00102697198354512,1.50094059960824,0.00338285973696812,0,1,,1,1,10,10,10,10,0.000216369026331302,0.000203122008765066,0,0,,0,"summary-fit-mplus"
29,10,10,"tau_sqr[4,3]",0,"BMLVAR-Default",100,100,0,"Posterior",0.001338,0.00145941811702628,,,-0.000991,0.004730025,,1,1,2.20108e-06,0.001338,,0.000783781791445392,1.16006461134476,0.00148360372067476,1,0,,0,1,10,10,10,10,0.000213654965878269,0.000170890105877198,0,0,,0,"summary-fit-mplus"
29,10,10,"tau_sqr[5,3]",0,"BMLVAR-Default",100,100,0,"Posterior",-0.000924,0.00113078295374348,,,-0.003547025,0.000907,,1,1,1.00496e-06,-0.000924,,0.000720926610347134,1.75897389893506,0.00100247693240294,1,0,,0,1,10,10,10,10,0.000129607955860056,0.000116601060487755,0,0,,0,"summary-fit-mplus"
29,10,10,"tau_sqr[6,3]",0,"BMLVAR-Default",100,100,0,"Posterior",-0.000676,0.00124653710616633,,,-0.00338105,0.001568,,1,1,1.00486e-06,-0.000676,,0.000466306371062925,0.597651886914099,0.00100242705470273,1,0,,0,1,10,10,10,10,0.000246730622339425,0.000171930962568437,0,0,,0,"summary-fit-mplus"
29,10,10,"tau_sqr[4,4]",0,"BMLVAR-Default",100,100,0,"Posterior",0.00394,0.00203893145703089,,,0.00132,0.009076,,0,0,1.661116e-05,0.00394,,0.000939658970337982,0.854800772067798,0.00407567908452076,0,1,,1,1,10,10,10,10,0.000347620482710671,0.000370727340309756,0,0,,0,"summary-fit-mplus"
29,10,10,"tau_sqr[5,4]",0,"BMLVAR-Default",100,100,0,"Posterior",-0.000285,0.0011895194988003,,,-0.002819,0.001929025,,1,1,6.1989e-07,-0.000285,,0.000415880909621434,0.537564846736571,0.000787330934232868,1,0,,0,1,10,10,10,10,0.000244646002760451,0.000153959777367137,0,0,,0,"summary-fit-mplus"
